J7,lambda_K2,E0,r3,switched
-0.6,0.06,2.0,0.9912558083514449,0
-0.6,0.06,3.0,0.9912387757182111,0
-0.6,0.06,4.0,0.9912243047928907,0
-0.6,0.06,5.0,0.991218834755837,0
-0.6,0.06,6.0,0.991211963839732,0
-0.6,0.06,7.0,0.9912065853292594,0
-0.6,0.06,8.0,0.9912029276770381,0
-0.4,0.03,20.0,0.9692515979705965,0
-0.6,0.06,10.0,0.991195655252306,0
-0.6,0.06,12.0,0.9911908603286531,0
-0.6,0.06,16.0,0.9911835543525389,0
-0.5,0.06,20.0,0.9857835978431712,0
-0.5,0.04,20.0,0.9858030953969161,0
-0.5,0.08,35.0,0.9857916460725893,0
-0.55,0.05,20.0,0.9890138060777283,0
-0.55,0.08,22.0,0.9890129107222237,0
-0.5,0.04,35.0,0.9858728026665873,0
-0.6,0.08,1.0,0.9912829171542559,0
-0.6,0.08,2.0,0.9912538637261659,0
-0.6,0.08,3.0,0.9912345439765343,0
-0.6,0.08,4.0,0.9912256380993154,0
-0.6,0.08,5.0,0.9912168462440224,0
-0.6,0.08,6.0,0.9912109924090012,0
-0.6,0.08,7.0,0.9912057642634376,0
-0.55,0.05,30.0,0.9890334512571297,0
-0.6,0.08,8.0,0.9912015623510225,0
-0.6,0.08,10.0,0.9911950686008137,0
-0.6,0.08,12.0,0.9911902451668115,0
-0.6,0.08,16.0,0.9911835152515707,0
-0.5,0.04,40.0,0.9858931029765076,0
-0.4,0.02,18.0,0.9692459632139073,0
-0.4,0.03,40.0,0.02156716484050023,1
-0.45,0.05,35.0,0.9803496173408696,0
-0.4,0.06,30.0,0.9691582219411599,0
-0.5,0.03,40.0,0.9858811764534888,0
-0.7,0.01,1.0,0.9940309719160062,0
-0.7,0.01,2.0,0.99404339498224,0
-0.7,0.01,3.0,0.9940585699323758,0
-0.7,0.01,4.0,0.9940674121998563,0
-0.7,0.01,5.0,0.9940681446143832,0
-0.7,0.01,6.0,0.9940698717336941,0
-0.7,0.01,7.0,0.9940801511505353,0
-0.7,0.01,8.0,0.9940963967598047,0
-0.7,0.01,10.0,0.9941151825089448,0
-0.7,0.01,12.0,0.9940960313161243,0
-0.7,0.01,16.0,0.9940429492271655,0
-0.4,0.06,22.0,0.9691380966867964,0
-0.45,0.03,35.0,0.9803919794688777,0
-0.5,0.06,22.0,0.9857940229243457,0
-0.5,0.02,35.0,0.9856513446562175,0
-0.45,0.04,20.0,0.9803026014039796,0
-0.45,0.01,30.0,0.0020870454016366003,1
-0.45,0.01,25.0,0.0025037021268232724,1
-0.7,0.02,1.0,0.9940365339793791,0
-0.7,0.02,2.0,0.9940455627738293,0
-0.7,0.02,3.0,0.994031069382853,0
-0.7,0.02,4.0,0.9940299600054967,0
-0.45,0.05,22.0,0.9802892736378116,0
-0.7,0.02,6.0,0.994057610672406,0
-0.7,0.02,5.0,0.994045011637382,0
-0.7,0.02,7.0,0.9940621298715017,0
-0.7,0.02,8.0,0.9940595129965939,0
-0.4,0.04,22.0,0.9692278789353913,0
-0.7,0.02,10.0,0.994043676566956,0
-0.7,0.02,16.0,0.9940256298221892,0
-0.7,0.02,12.0,0.994032930289607,0
-0.45,0.06,40.0,0.9803277243671409,0
-0.5,0.03,25.0,0.9858231139466843,0
-0.4,0.05,35.0,0.9692275028716261,0
-0.5,0.05,40.0,0.9858860605457398,0
-0.5,0.05,22.0,0.9858079982634284,0
-0.7,0.03,1.0,0.9940396295027899,0
-0.7,0.03,2.0,0.9940216342631001,0
-0.7,0.03,3.0,0.9940164288298731,0
-0.4,0.05,18.0,0.9691652392599142,0
-0.7,0.03,5.0,0.9940350718248825,0
-0.7,0.03,4.0,0.9940298898572034,0
-0.7,0.03,6.0,0.9940313780315799,0
-0.45,0.06,35.0,0.9803100724436926,0
-0.7,0.03,10.0,0.9940164187330859,0
-0.7,0.03,8.0,0.9940186816179447,0
-0.7,0.03,7.0,0.994023940431687,0
-0.7,0.03,16.0,0.9940124570767144,0
-0.7,0.03,12.0,0.9940142264519972,0
-0.55,0.01,35.0,0.9888710151369913,0
-0.45,0.04,30.0,0.9803562432505416,0
-0.4,0.02,40.0,0.003291120659129666,1
-0.55,0.02,22.0,0.9889541388289158,0
-0.55,0.04,20.0,0.9890070792141348,0
-0.7,0.04,1.0,0.9940367811975362,0
-0.7,0.04,2.0,0.9940074715939679,0
-0.7,0.04,3.0,0.9940169475545538,0
-0.7,0.04,4.0,0.9940200048954237,0
-0.7,0.04,5.0,0.9940135035081277,0
-0.7,0.04,6.0,0.994007570518427,0
-0.7,0.04,7.0,0.994006118030604,0
-0.7,0.04,8.0,0.9940057934279906,0
-0.5,0.02,20.0,0.9857454179062447,0
-0.7,0.04,10.0,0.9940039107863738,0
-0.7,0.04,12.0,0.9940033468714019,0
-0.7,0.04,16.0,0.9940008275062991,0
-0.45,0.04,35.0,0.9803785512111816,0
