J7,lambda_K2,E0,r3,switched
-0.44,0.02,30.0,0.9786018458472358,0
-0.42,0.025,36.0,0.9746710253671592,0
-0.44,0.02,34.0,0.9786221309205941,0
-0.43,0.005,36.0,4.4323877379016794e-17,1
-0.44,0.02,38.0,0.9785832342722465,0
-0.43,0.01,32.0,0.0016819980374020737,1
-0.43,0.01,22.0,0.003924996154030834,1
-0.44,0.025,12.0,0.9786892102759746,0
-0.44,0.025,14.0,0.9786866789456625,0
-0.44,0.025,16.0,0.9787019060085802,0
-0.44,0.025,18.0,0.9787300746738331,0
-0.44,0.025,20.0,0.9787449779162246,0
-0.44,0.025,22.0,0.9787481341371455,0
-0.44,0.025,24.0,0.9787557203751337,0
-0.44,0.025,26.0,0.9787723634745095,0
-0.44,0.025,28.0,0.978788073361241,0
-0.44,0.025,30.0,0.9787960036925341,0
-0.42,0.03,32.0,0.9748678062983692,0
-0.44,0.025,34.0,0.9784701002443769,0
-0.42,0.04,40.0,0.974869643579696,0
-0.44,0.025,38.0,0.9786119231818756,0
-0.43,0.01,20.0,0.0029160960617388683,1
-0.42,0.04,36.0,0.9748540952899485,0
-0.44,0.03,12.0,0.9786710171647812,0
-0.44,0.03,14.0,0.9786928740511693,0
-0.44,0.03,16.0,0.9787188278340656,0
-0.44,0.03,18.0,0.978725751381293,0
-0.44,0.03,20.0,0.9787325429816989,0
-0.44,0.03,22.0,0.9787502810978927,0
-0.44,0.03,24.0,0.9787662235889963,0
-0.42,0.015,32.0,0.004468551104475367,1
-0.44,0.03,26.0,0.9787734507662778,0
-0.43,0.005,22.0,7.239505964900315e-16,1
-0.44,0.03,30.0,0.9787925930494453,0
-0.44,0.03,28.0,0.9787803722457288,0
-0.44,0.03,34.0,0.9788130684557913,0
-0.44,0.03,38.0,0.9785363347008654,0
-0.43,0.02,16.0,0.976892571740607,0
-0.42,0.02,10.0,0.9747113228579848,0
-0.44,0.035,12.0,0.9786731630061665,0
-0.44,0.035,14.0,0.978699093663411,0
-0.44,0.035,16.0,0.9787050542764208,0
-0.44,0.035,18.0,0.9787169187350282,0
-0.42,0.025,32.0,0.7212378003858925,0
-0.44,0.035,20.0,0.9787365859079569,0
-0.44,0.035,22.0,0.978747011522513,0
-0.44,0.035,24.0,0.9787539957345552,0
-0.44,0.035,26.0,0.9787668536143928,0
-0.42,0.03,36.0,0.974670350579251,0
-0.44,0.035,28.0,0.978779788902123,0
-0.44,0.035,34.0,0.9788057722842018,0
-0.44,0.035,30.0,0.9787877116403163,0
-0.44,0.035,38.0,0.9788227644042439,0
-0.42,0.045,10.0,0.9747037647260418,0
-0.42,0.005,28.0,5.423142224425466e-16,1
-0.44,0.04,12.0,0.9786753606360689,0
-0.44,0.04,14.0,0.9786834571222536,0
-0.44,0.04,16.0,0.9786962171071174,0
-0.44,0.04,18.0,0.9787154403997684,0
-0.44,0.04,20.0,0.9787239198391295,0
-0.44,0.04,22.0,0.9787337987896948,0
-0.44,0.04,24.0,0.9787484268673411,0
-0.44,0.04,26.0,0.9787581719263803,0
-0.44,0.04,28.0,0.9787659703241446,0
-0.44,0.04,30.0,0.9787768539180466,0
-0.43,0.005,38.0,0.0010544184962517464,1
-0.44,0.04,34.0,0.9787944797970093,0
-0.42,0.03,10.0,0.9747387301904363,0
-0.44,0.04,38.0,0.9788116611196365,0
-0.43,0.005,10.0,0.9766678602356332,0
-0.43,0.02,22.0,0.9769376434339816,0
-0.44,0.045,12.0,0.9786614443997074,0
-0.43,0.02,14.0,0.9768929158471964,0
-0.43,0.02,40.0,0.005866968133690631,1
-0.44,0.045,14.0,0.9786712134981992,0
-0.44,0.045,18.0,0.9786993986370442,0
-0.44,0.045,16.0,0.9786906390870572,0
-0.44,0.045,20.0,0.9787105467767769,0
-0.44,0.045,22.0,0.9787246944248962,0
-0.44,0.045,26.0,0.9787427102025714,0
-0.44,0.045,28.0,0.9787540792415126,0
-0.44,0.045,24.0,0.9787330420612598,0
-0.44,0.045,30.0,0.9787623589614073,0
-0.44,0.045,34.0,0.9787800077238272,0
-0.44,0.045,38.0,0.9787953978302384,0
-0.42,0.045,40.0,0.9748484099439558,0
-0.42,0.01,10.0,0.9747428230994074,0
-0.43,0.03,16.0,0.9769033380856177,0
-0.43,0.005,40.0,0.0010544163341509672,1
-0.42,0.025,40.0,0.2905580879511628,0
-0.43,0.02,12.0,0.9768680227830887,0
-0.42,0.01,36.0,0.0020338697079687993,1
-0.43,0.02,20.0,0.9769127467798088,0
-0.43,0.015,10.0,0.9768272752152627,0
-0.43,0.025,22.0,0.976934073529902,0
-0.42,0.005,22.0,5.3297442829541125e-05,1
-0.42,0.04,32.0,0.9748390610647444,0
-0.43,0.015,22.0,0.9768036643460759,0
-0.43,0.005,28.0,3.263806586156638e-16,1
-0.43,0.035,20.0,0.9769188012822931,0
-0.42,0.015,10.0,0.9747154256041507,0
-0.43,0.01,40.0,0.0016819702492435128,1
-0.43,0.015,30.0,0.005866998763998759,1
-0.43,0.03,22.0,0.9769349518009083,0
-0.43,0.025,24.0,0.9769424618309196,0
-0.43,0.035,18.0,0.9768997676276945,0
-0.42,0.005,18.0,0.0010423519925419182,1
-0.42,0.01,32.0,0.0013348345129830298,1
-0.42,0.01,40.0,0.0016650719968546077,1
-0.43,0.025,10.0,0.9768583653412417,0
-0.43,0.035,12.0,0.9768571685944479,0
-0.43,0.015,36.0,0.003391986211985816,1
-0.43,0.01,38.0,0.0010544219185725683,1
-0.43,0.02,30.0,0.9767760170058224,0
-0.43,0.01,24.0,0.0024507904212230968,1
-0.43,0.015,12.0,0.9768220675056244,0
-0.43,0.015,32.0,0.005866945252022151,1
-0.43,0.04,24.0,0.9769276952037634,0
-0.43,0.035,30.0,0.9769682040188054,0
-0.43,0.02,36.0,0.9767856665183585,0
-0.43,0.035,16.0,0.976887335389924,0
-0.43,0.03,40.0,0.9767450076564943,0
-0.43,0.025,36.0,0.9767968286026208,0
-0.43,0.005,12.0,0.9766830506354734,0
-0.43,0.015,16.0,0.9768897989959954,0
-0.43,0.045,12.0,0.9768405733864481,0
-0.43,0.03,30.0,0.9769762052086457,0
-0.43,0.025,34.0,0.9767815052327403,0
-0.42,0.005,30.0,3.3784729117685194e-16,1
-0.42,0.02,40.0,0.005909145372508508,1
