coupling,theta_deg,e0,r3,switched
j7on,22.5,10.0,2.663641515205441e-15,1
j7on,30.0,14.0,3.4472259558453766e-15,1
j7on,22.5,24.0,1.0,0
j7on,22.5,26.0,1.0,0
j7on,0.0,34.0,2.4291528688705488e-17,1
j7on,30.0,6.0,0.9692443319039624,0
j7on,30.0,26.0,1.0,0
j7on,22.5,30.0,1.0,0
j7on,22.5,16.0,4.762876404505003e-16,1
j7on,30.0,20.0,1.0,0
j7on,30.0,22.0,1.0,0
j7on,22.5,18.0,1.3676662101719613e-15,1
j7on,22.5,34.0,1.0,0
j7on,30.0,18.0,6.384707940497291e-15,1
j7on,30.0,30.0,1.0,0
j7on,37.5,4.0,0.9691041496579952,0
j7on,37.5,18.0,1.0,0
j7on,30.0,34.0,1.0,0
j7on,30.0,38.0,1.0,0
j7on,37.5,20.0,1.0,0
j7on,30.0,24.0,1.0,0
j7on,30.0,8.0,0.9692242963048922,0
j7on,30.0,28.0,1.0,0
j7on,37.5,10.0,0.9692775620047196,0
j7on,37.5,8.0,0.9692310014952997,0
j7on,37.5,16.0,0.00023260278515005843,1
j7on,37.5,28.0,1.0,0
j7on,45.0,6.0,0.9692362868698552,0
j7on,37.5,24.0,1.0,0
j7on,45.0,16.0,0.9692935877238419,0
j7on,37.5,38.0,1.0,0
j7on,45.0,4.0,0.9691123788471164,0
j7on,52.5,14.0,0.9692769603993318,0
j7on,37.5,6.0,0.969242785941525,0
j7on,37.5,34.0,1.0,0
j7on,45.0,8.0,0.9692331876749265,0
j7on,52.5,16.0,0.9692793129452496,0
j7on,45.0,22.0,0.005850295968649236,1
j7on,45.0,30.0,2.7591577723330714e-17,1
j7on,45.0,18.0,0.9693201416572682,0
j7on,37.5,22.0,1.0,0
j7on,45.0,34.0,2.9360098892182583e-16,1
j7on,37.5,12.0,0.9693087982182932,0
j7on,45.0,20.0,5.820716596702283e-16,1
j7on,45.0,24.0,8.429517693404147e-14,1
j7on,52.5,8.0,0.9692313132885785,0
j7on,52.5,6.0,0.9692219067255214,0
j7on,60.0,14.0,1.0,0
j7on,45.0,10.0,0.9692710437828699,0
j7on,45.0,28.0,1.0,0
j7on,52.5,4.0,0.9691162307749259,0
j7on,52.5,26.0,1.822054038747613e-17,1
j7on,45.0,12.0,0.9692976459481769,0
j7on,60.0,28.0,4.635614140623291e-06,1
j7on,52.5,22.0,1.7876504674324905e-15,1
j7on,37.5,26.0,1.0,0
j7on,52.5,12.0,0.9692862290111862,0
